iter	Passed	Remaining
721	6524	2512
722	6533	2503
723	6541	2493
724	6550	2484
725	6559	2475
726	6568	2466
727	6576	2457
728	6585	2448
729	6593	2438
730	6602	2429
731	6611	2420
732	6620	2411
733	6628	2402
734	6637	2393
735	6646	2383
736	6654	2374
737	6663	2365
738	6671	2356
739	6680	2347
740	6689	2338
741	6697	2328
742	6706	2319
743	6715	2310
744	6723	2301
745	6732	2292
746	6741	2283
747	6750	2274
748	6758	2264
749	6766	2255
750	6775	2246
751	6784	2237
752	6792	2228
753	6801	2219
754	6810	2209
755	6818	2200
756	6827	2191
757	6835	2182
758	6844	2173
759	6852	2164
760	6861	2155
761	6870	2146
762	6879	2136
763	6888	2127
764	6897	2118
765	6906	2109
766	6915	2100
767	6923	2091
768	6932	2082
769	6941	2073
770	6950	2064
771	6958	2055
772	6967	2046
773	6975	2036
774	6984	2027
775	6992	2018
776	7001	2009
777	7010	2000
778	7018	1991
779	7027	1982
780	7036	1972
781	7044	1963
782	7053	1954
783	7061	1945
784	7070	1936
785	7079	1927
786	7088	1918
787	7097	1909
788	7105	1900
789	7115	1891
790	7123	1882
791	7132	1873
792	7141	1864
793	7150	1855
794	7159	1846
795	7167	1836
796	7176	1827
797	7185	1818
798	7193	1809
799	7202	1800
800	7211	1791
801	7220	1782
802	7228	1773
803	7237	1764
804	7246	1755
805	7254	1746
806	7263	1737
807	7272	1728
808	7280	1718
809	7289	1709
810	7298	1700
811	7306	1691
812	7315	1682
813	7324	1673
814	7332	1664
815	7342	1655
816	7350	1646
817	7359	1637
818	7368	1628
819	7377	1619
820	7386	1610
821	7395	1601
822	7403	1592
823	7412	1583
824	7421	1574
825	7430	1565
826	7438	1556
827	7448	1547
828	7456	1538
829	7465	1529
830	7474	1520
831	7483	1511
832	7492	1502
833	7501	1493
834	7510	1484
835	7518	1474
836	7527	1465
837	7536	1456
838	7545	1448
839	7554	1439
840	7563	1430
841	7572	1421
842	7581	1412
843	7591	1403
844	7600	1394
845	7609	1385
846	7619	1376
847	7628	1367
848	7637	1358
849	7647	1349
850	7656	1340
851	7665	1331
852	7675	1322
853	7684	1313
854	7694	1304
855	7703	1295
856	7712	1286
857	7721	1277
858	7730	1268
859	7740	1260
860	7749	1251
861	7758	1242
862	7766	1232
863	7776	1224
864	7785	1215
865	7794	1206
866	7803	1197
867	7812	1188
868	7821	1179
869	7829	1169
870	7838	1160
871	7847	1151
872	7856	1142
873	7864	1133
874	7873	1124
875	7882	1115
876	7891	1106
877	7900	1097
878	7908	1088
879	7917	1079
880	7926	1070
881	7935	1061
882	7943	1052
883	7953	1043
884	7962	1034
885	7971	1025
886	7980	1016
887	7989	1007
888	7999	998
889	8008	989
890	8017	980
891	8026	971
892	8036	962
893	8045	953
894	8054	944
895	8063	935
896	8073	927
897	8082	918
898	8092	909
899	8101	900
900	8111	891
901	8120	882
902	8130	873
903	8139	864
904	8149	855
905	8158	846
906	8167	837
907	8177	828
908	8186	819
909	8195	810
910	8205	801
911	8214	792
912	8224	783
913	8233	774
914	8242	765
915	8251	756
916	8260	747
917	8269	738
918	8279	729
919	8288	720
920	8297	711
921	8307	702
922	8316	693
923	8325	684
924	8334	675
925	8343	666
926	8353	657
